datetime,signal
2021-07-01_09:30:00,1
2021-07-01_09:31:00,0
2021-07-01_09:32:00,1
2021-07-01_09:33:00,1
2021-07-01_09:34:00,2
2021-07-01_09:35:00,2
2021-07-01_09:36:00,0
2021-07-01_09:37:00,2
2021-07-01_09:38:00,1
2021-07-01_09:39:00,0
2021-07-01_09:40:00,1
2021-07-01_09:41:00,0
2021-07-01_09:42:00,0
2021-07-01_09:43:00,1
2021-07-01_09:44:00,2
2021-07-01_09:45:00,2
2021-07-01_09:46:00,2
2021-07-01_09:47:00,1
2021-07-01_09:48:00,2
2021-07-01_09:49:00,1
2021-07-01_09:50:00,1
2021-07-01_09:51:00,2
2021-07-01_09:52:00,0
2021-07-01_09:53:00,0
2021-07-01_09:54:00,2
2021-07-01_09:55:00,1
2021-07-01_09:56:00,2
2021-07-01_09:57:00,1
2021-07-01_09:58:00,2
2021-07-01_09:59:00,2
2021-07-01_10:00:00,0
2021-07-01_10:01:00,1
2021-07-01_10:02:00,0
2021-07-01_10:03:00,1
2021-07-01_10:04:00,2
2021-07-01_10:05:00,1
2021-07-01_10:06:00,0
2021-07-01_10:07:00,0
2021-07-01_10:08:00,0
2021-07-01_10:09:00,1
2021-07-01_10:10:00,1
2021-07-01_10:11:00,0
2021-07-01_10:12:00,0
2021-07-01_10:13:00,1
2021-07-01_10:14:00,2
2021-07-01_10:15:00,2
2021-07-01_10:31:00,1
2021-07-01_10:32:00,2
2021-07-01_10:33:00,1
2021-07-01_10:34:00,2
2021-07-01_10:35:00,0
2021-07-01_10:36:00,0
2021-07-01_10:37:00,2
2021-07-01_10:38:00,2
2021-07-01_10:39:00,0
2021-07-01_10:40:00,2
2021-07-01_10:41:00,0
2021-07-01_10:42:00,2
2021-07-01_10:43:00,0
2021-07-01_10:44:00,0
2021-07-01_10:45:00,2
2021-07-01_10:46:00,1
2021-07-01_10:47:00,0
2021-07-01_10:48:00,0
2021-07-01_10:49:00,1
2021-07-01_10:50:00,1
2021-07-01_10:51:00,2
2021-07-01_10:52:00,1
2021-07-01_10:53:00,2
2021-07-01_10:54:00,2
2021-07-01_10:55:00,0
2021-07-01_10:56:00,2
2021-07-01_10:57:00,1
2021-07-01_10:58:00,1
2021-07-01_10:59:00,1
2021-07-01_11:00:00,1
2021-07-01_11:01:00,0
2021-07-01_11:02:00,1
2021-07-01_11:03:00,0
2021-07-01_11:04:00,1
2021-07-01_11:05:00,1
2021-07-01_11:06:00,2
2021-07-01_11:07:00,0
2021-07-01_11:08:00,1
2021-07-01_11:09:00,1
2021-07-01_11:10:00,0
2021-07-01_11:11:00,2
2021-07-01_11:12:00,2
2021-07-01_11:13:00,2
2021-07-01_11:14:00,0
2021-07-01_11:15:00,2
2021-07-01_11:16:00,0
2021-07-01_11:17:00,0
2021-07-01_11:18:00,2
2021-07-01_11:19:00,2
2021-07-01_11:20:00,0
2021-07-01_11:21:00,2
2021-07-01_11:22:00,2
2021-07-01_11:23:00,0
2021-07-01_11:24:00,0
2021-07-01_11:25:00,1
2021-07-01_11:26:00,2
2021-07-01_11:27:00,1
2021-07-01_11:28:00,1
2021-07-01_11:29:00,1
2021-07-02_09:30:00,1
2021-07-02_09:31:00,1
2021-07-02_09:32:00,2
2021-07-02_09:33:00,0
2021-07-02_09:34:00,2
2021-07-02_09:35:00,0
2021-07-02_09:36:00,0
2021-07-02_09:37:00,2
2021-07-02_09:38:00,2
2021-07-02_09:39:00,0
2021-07-02_09:40:00,0
2021-07-02_09:41:00,2
2021-07-02_09:42:00,2
2021-07-02_09:43:00,1
2021-07-02_09:44:00,2
2021-07-02_09:45:00,1
2021-07-02_09:46:00,1
2021-07-02_09:47:00,2
2021-07-02_09:48:00,1
2021-07-02_09:49:00,2
2021-07-02_09:50:00,1
2021-07-02_09:51:00,1
2021-07-02_09:52:00,0
2021-07-02_09:53:00,0
2021-07-02_09:54:00,1
2021-07-02_09:55:00,2
2021-07-02_09:56:00,1
2021-07-02_09:57:00,2
2021-07-02_09:58:00,0
2021-07-02_09:59:00,1
2021-07-02_10:00:00,0
2021-07-02_10:01:00,0
2021-07-02_10:02:00,2
2021-07-02_10:03:00,0
2021-07-02_10:04:00,1
2021-07-02_10:05:00,1
2021-07-02_10:06:00,2
2021-07-02_10:07:00,2
2021-07-02_10:08:00,1
2021-07-02_10:09:00,2
2021-07-02_10:10:00,2
2021-07-02_10:11:00,2
2021-07-02_10:12:00,2
2021-07-02_10:13:00,0
2021-07-02_10:14:00,0
2021-07-02_10:15:00,0
2021-07-02_10:31:00,1
2021-07-02_10:32:00,1
2021-07-02_10:33:00,2
2021-07-02_10:34:00,2
2021-07-02_10:35:00,2
2021-07-02_10:36:00,2
2021-07-02_10:37:00,1
2021-07-02_10:38:00,0
2021-07-02_10:39:00,2
2021-07-02_10:40:00,0
2021-07-02_10:41:00,2
2021-07-02_10:42:00,0
2021-07-02_10:43:00,0
2021-07-02_10:44:00,2
2021-07-02_10:45:00,1
2021-07-02_10:46:00,1
2021-07-02_10:47:00,1
2021-07-02_10:48:00,0
2021-07-02_10:49:00,1
2021-07-02_10:50:00,1
2021-07-02_10:51:00,0
2021-07-02_10:52:00,1
2021-07-02_10:53:00,0
2021-07-02_10:54:00,1
2021-07-02_10:55:00,2
2021-07-02_10:56:00,2
2021-07-02_10:57:00,1
2021-07-02_10:58:00,2
2021-07-02_10:59:00,1
2021-07-02_11:00:00,1
2021-07-02_11:01:00,0
2021-07-02_11:02:00,0
2021-07-02_11:03:00,1
2021-07-02_11:04:00,1
2021-07-02_11:05:00,0
2021-07-02_11:06:00,1
2021-07-02_11:07:00,1
2021-07-02_11:08:00,1
2021-07-02_11:09:00,1
2021-07-02_11:10:00,2
2021-07-02_11:11:00,2
2021-07-02_11:12:00,1
2021-07-02_11:13:00,0
2021-07-02_11:14:00,0
2021-07-02_11:15:00,2
2021-07-02_11:16:00,2
2021-07-02_11:17:00,1
2021-07-02_11:18:00,1
2021-07-02_11:19:00,1
2021-07-02_11:20:00,2
2021-07-02_11:21:00,1
2021-07-02_11:22:00,0
2021-07-02_11:23:00,1
2021-07-02_11:24:00,2
2021-07-02_11:25:00,2
2021-07-02_11:26:00,0
2021-07-02_11:27:00,1
2021-07-02_11:28:00,0
2021-07-02_11:29:00,0
2021-07-05_09:30:00,1
2021-07-05_09:31:00,0
2021-07-05_09:32:00,0
2021-07-05_09:33:00,1
2021-07-05_09:34:00,2
2021-07-05_09:35:00,1
2021-07-05_09:36:00,2
2021-07-05_09:37:00,2
2021-07-05_09:38:00,2
2021-07-05_09:39:00,1
2021-07-05_09:40:00,1
2021-07-05_09:41:00,1
2021-07-05_09:42:00,1
2021-07-05_09:43:00,0
2021-07-05_09:44:00,2
2021-07-05_09:45:00,1
2021-07-05_09:46:00,1
2021-07-05_09:47:00,0
2021-07-05_09:48:00,1
2021-07-05_09:49:00,2
2021-07-05_09:50:00,2
2021-07-05_09:51:00,2
2021-07-05_09:52:00,2
2021-07-05_09:53:00,2
2021-07-05_09:54:00,2
2021-07-05_09:55:00,1
2021-07-05_09:56:00,0
2021-07-05_09:57:00,0
2021-07-05_09:58:00,2
2021-07-05_09:59:00,2
2021-07-05_10:00:00,2
2021-07-05_10:01:00,0
2021-07-05_10:02:00,1
2021-07-05_10:03:00,1
2021-07-05_10:04:00,0
2021-07-05_10:05:00,1
2021-07-05_10:06:00,1
2021-07-05_10:07:00,0
2021-07-05_10:08:00,1
2021-07-05_10:09:00,1
2021-07-05_10:10:00,0
2021-07-05_10:11:00,2
2021-07-05_10:12:00,0
2021-07-05_10:13:00,2
2021-07-05_10:14:00,1
2021-07-05_10:15:00,1
2021-07-05_10:31:00,1
2021-07-05_10:32:00,1
2021-07-05_10:33:00,0
2021-07-05_10:34:00,2
2021-07-05_10:35:00,1
2021-07-05_10:36:00,0
2021-07-05_10:37:00,1
2021-07-05_10:38:00,1
2021-07-05_10:39:00,1
2021-07-05_10:40:00,2
2021-07-05_10:41:00,0
2021-07-05_10:42:00,0
2021-07-05_10:43:00,1
2021-07-05_10:44:00,2
2021-07-05_10:45:00,1
2021-07-05_10:46:00,1
2021-07-05_10:47:00,1
2021-07-05_10:48:00,1
2021-07-05_10:49:00,1
2021-07-05_10:50:00,2
2021-07-05_10:51:00,1
2021-07-05_10:52:00,1
2021-07-05_10:53:00,0
2021-07-05_10:54:00,0
2021-07-05_10:55:00,1
2021-07-05_10:56:00,0
2021-07-05_10:57:00,1
2021-07-05_10:58:00,2
2021-07-05_10:59:00,2
2021-07-05_11:00:00,1
2021-07-05_11:01:00,2
2021-07-05_11:02:00,1
2021-07-05_11:03:00,1
2021-07-05_11:04:00,2
2021-07-05_11:05:00,1
2021-07-05_11:06:00,0
2021-07-05_11:07:00,2
2021-07-05_11:08:00,1
2021-07-05_11:09:00,2
2021-07-05_11:10:00,1
2021-07-05_11:11:00,0
2021-07-05_11:12:00,1
2021-07-05_11:13:00,1
2021-07-05_11:14:00,1
2021-07-05_11:15:00,0
2021-07-05_11:16:00,1
2021-07-05_11:17:00,0
2021-07-05_11:18:00,0
2021-07-05_11:19:00,1
2021-07-05_11:20:00,2
2021-07-05_11:21:00,2
2021-07-05_11:22:00,2
2021-07-05_11:23:00,2
2021-07-05_11:24:00,1
2021-07-05_11:25:00,1
2021-07-05_11:26:00,1
2021-07-05_11:27:00,2
2021-07-05_11:28:00,2
2021-07-05_11:29:00,0
2021-07-05_11:30:00,2
2021-07-01_13:31:00,2
2021-07-01_13:32:00,0
2021-07-01_13:33:00,2
2021-07-01_13:34:00,2
2021-07-01_13:35:00,0
2021-07-01_13:36:00,1
2021-07-01_13:37:00,1
2021-07-01_13:38:00,0
2021-07-01_13:39:00,0
2021-07-01_13:40:00,0
2021-07-01_13:41:00,0
2021-07-01_13:42:00,2
2021-07-01_13:43:00,2
2021-07-01_13:44:00,1
2021-07-01_13:45:00,0
2021-07-01_13:46:00,2
2021-07-01_13:47:00,2
2021-07-01_13:48:00,1
2021-07-01_13:49:00,1
2021-07-01_13:50:00,1
2021-07-01_13:51:00,2
2021-07-01_13:52:00,1
2021-07-01_13:53:00,1
2021-07-01_13:54:00,1
2021-07-01_13:55:00,0
2021-07-01_13:56:00,1
2021-07-01_13:57:00,1
2021-07-01_13:58:00,1
2021-07-01_13:59:00,1
2021-07-01_14:00:00,2
2021-07-01_14:01:00,1
2021-07-01_14:02:00,2
2021-07-01_14:03:00,2
2021-07-01_14:04:00,2
2021-07-01_14:05:00,2
2021-07-01_14:06:00,1
2021-07-01_14:07:00,2
2021-07-01_14:08:00,2
2021-07-01_14:09:00,2
2021-07-01_14:10:00,0
2021-07-01_14:11:00,2
2021-07-01_14:12:00,0
2021-07-01_14:13:00,0
2021-07-01_14:14:00,1
2021-07-01_14:15:00,0
2021-07-01_14:16:00,1
2021-07-01_14:17:00,2
2021-07-01_14:18:00,0
2021-07-01_14:19:00,1
2021-07-01_14:20:00,0
2021-07-01_14:21:00,0
2021-07-01_14:22:00,0
2021-07-01_14:23:00,2
2021-07-01_14:24:00,2
2021-07-01_14:25:00,1
2021-07-01_14:26:00,2
2021-07-01_14:27:00,1
2021-07-01_14:28:00,1
2021-07-01_14:29:00,0
2021-07-01_14:30:00,2
2021-07-01_14:31:00,2
2021-07-01_14:32:00,0
2021-07-01_14:33:00,0
2021-07-01_14:34:00,0
2021-07-01_14:35:00,1
2021-07-01_14:36:00,1
2021-07-01_14:37:00,0
2021-07-01_14:38:00,2
2021-07-01_14:39:00,0
2021-07-01_14:40:00,2
2021-07-01_14:41:00,1
2021-07-01_14:42:00,2
2021-07-01_14:43:00,2
2021-07-01_14:44:00,1
2021-07-01_14:45:00,2
2021-07-01_14:46:00,2
2021-07-01_14:47:00,2
2021-07-01_14:48:00,0
2021-07-01_14:49:00,1
2021-07-01_14:50:00,0
2021-07-01_14:51:00,1
2021-07-01_14:52:00,0
2021-07-01_14:53:00,1
2021-07-01_14:54:00,1
2021-07-01_14:55:00,2
2021-07-01_14:56:00,1
2021-07-01_14:57:00,0
2021-07-01_14:58:00,1
2021-07-01_14:59:00,0
2021-07-01_15:00:00,2
2021-07-02_13:31:00,2
2021-07-02_13:32:00,1
2021-07-02_13:33:00,2
2021-07-02_13:34:00,1
2021-07-02_13:35:00,2
2021-07-02_13:36:00,2
2021-07-02_13:37:00,1
2021-07-02_13:38:00,0
2021-07-02_13:39:00,0
2021-07-02_13:40:00,2
2021-07-02_13:41:00,0
2021-07-02_13:42:00,0
2021-07-02_13:43:00,1
2021-07-02_13:44:00,0
2021-07-02_13:45:00,2
2021-07-02_13:46:00,2
2021-07-02_13:47:00,0
2021-07-02_13:48:00,2
2021-07-02_13:49:00,1
2021-07-02_13:50:00,2
2021-07-02_13:51:00,1
2021-07-02_13:52:00,1
2021-07-02_13:53:00,2
2021-07-02_13:54:00,1
2021-07-02_13:55:00,1
2021-07-02_13:56:00,1
2021-07-02_13:57:00,1
2021-07-02_13:58:00,0
2021-07-02_13:59:00,1
2021-07-02_14:00:00,0
2021-07-02_14:01:00,1
2021-07-02_14:02:00,1
2021-07-02_14:03:00,1
2021-07-02_14:04:00,0
2021-07-02_14:05:00,1
2021-07-02_14:06:00,0
2021-07-02_14:07:00,2
2021-07-02_14:08:00,1
2021-07-02_14:09:00,0
2021-07-02_14:10:00,1
2021-07-02_14:11:00,1
2021-07-02_14:12:00,1
2021-07-02_14:13:00,1
2021-07-02_14:14:00,1
2021-07-02_14:15:00,1
2021-07-02_14:16:00,1
2021-07-02_14:17:00,2
2021-07-02_14:18:00,0
2021-07-02_14:19:00,0
2021-07-02_14:20:00,1
2021-07-02_14:21:00,2
2021-07-02_14:22:00,0
2021-07-02_14:23:00,1
2021-07-02_14:24:00,2
2021-07-02_14:25:00,0
2021-07-02_14:26:00,2
2021-07-02_14:27:00,0
2021-07-02_14:28:00,1
2021-07-02_14:29:00,0
2021-07-02_14:30:00,1
2021-07-02_14:31:00,1
2021-07-02_14:32:00,0
2021-07-02_14:33:00,2
2021-07-02_14:34:00,0
2021-07-02_14:35:00,2
2021-07-02_14:36:00,2
